,brand,long_title,short_title,description,urls,category,retail,query,timestamp,sonar-pro_temp0.2_round0
0,King Arthur,King Arthur All-Purpose Flour,All-Purpose Flour,"A versatile flour that serves as the foundation for most baked goods, providing structure and texture.","['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://thesweetoccasion.com/10-baking-ingredients-you-should-stock-in-your-kitchen/', 'https://www.abakingjourney.com/10-baking-essential-ingredients-for-beginners/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,1
1,Arm & Hammer,Arm & Hammer Baking Soda,Baking Soda,A leavening agent that reacts with acids to help baked goods rise.,"['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://thesweetoccasion.com/10-baking-ingredients-you-should-stock-in-your-kitchen/', 'https://www.browneyedbaker.com/91-of-my-essential-ingredients-how-to-stock-your-baking-pantry/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,2
2,Clabber Girl,Clabber Girl Baking Powder,Baking Powder,"A combination of baking soda and an acid, used to create a fluffy texture in baked goods.","['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://thesweetoccasion.com/10-baking-ingredients-you-should-stock-in-your-kitchen/', 'https://www.abakingjourney.com/10-baking-essential-ingredients-for-beginners/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,3
3,Domino,Domino Granulated Sugar,Granulated Sugar,"A sweetener that adds flavor, moisture, and texture to baked goods.","['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://thesweetoccasion.com/10-baking-ingredients-you-should-stock-in-your-kitchen/', 'https://www.browneyedbaker.com/91-of-my-essential-ingredients-how-to-stock-your-baking-pantry/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,4
4,Land O'Lakes,Land O'Lakes Unsalted Butter,Unsalted Butter,A fat that adds flavor and richness to baked goods.,"['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://thesweetoccasion.com/10-baking-ingredients-you-should-stock-in-your-kitchen/', 'https://www.abakingjourney.com/10-baking-essential-ingredients-for-beginners/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,5
5,McCormick,McCormick Pure Vanilla Extract,Vanilla Extract,A flavor enhancer that adds depth and aroma to baked goods.,"['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://thesweetoccasion.com/10-baking-ingredients-you-should-stock-in-your-kitchen/', 'https://www.browneyedbaker.com/91-of-my-essential-ingredients-how-to-stock-your-baking-pantry/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,6
6,Hershey's,Hershey's Natural Unsweetened Cocoa Powder,Cocoa Powder,"A key ingredient for chocolate-flavored baked goods, providing rich flavor and color.","['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://www.abakingjourney.com/10-baking-essential-ingredients-for-beginners/', 'https://www.browneyedbaker.com/91-of-my-essential-ingredients-how-to-stock-your-baking-pantry/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,7
7,Morton,Morton Fine Sea Salt,Salt,Enhances flavor and balances sweetness in baked goods.,"['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://thesweetoccasion.com/10-baking-ingredients-you-should-stock-in-your-kitchen/', 'https://www.abakingjourney.com/10-baking-essential-ingredients-for-beginners/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,8
8,Nestlé,Nestlé Semi-Sweet Chocolate Chips,Chocolate Chips,"Adds rich, creamy flavor and texture to cookies, brownies, and other baked goods.","['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://www.browneyedbaker.com/91-of-my-essential-ingredients-how-to-stock-your-baking-pantry/', 'https://www.abakingjourney.com/10-baking-essential-ingredients-for-beginners/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,9
9,Eggland's Best,Eggland's Best Large Eggs,Large Eggs,"Provides structure, moisture, and richness to baked goods.","['https://www.allrecipes.com/article/essential-baking-ingredients/', 'https://thesweetoccasion.com/10-baking-ingredients-you-should-stock-in-your-kitchen/', 'https://www.abakingjourney.com/10-baking-essential-ingredients-for-beginners/']",Baking Ingredients,,"best Ten Baking Ingredients. The output should be formatted as a JSON instance that conforms to the JSON schema below.

As an example, for the schema {""properties"": {""foo"": {""title"": ""Foo"", ""description"": ""a list of strings"", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""foo""]}
the object {""foo"": [""bar"", ""baz""]} is a well-formatted instance of the schema. The object {""properties"": {""foo"": [""bar"", ""baz""]}} is not well-formatted.

Here is the output schema:
```
{""properties"": {""products"": {""title"": ""Products"", ""default"": ""A list of product as the search result."", ""type"": ""array"", ""items"": {""$ref"": ""#/definitions/Product""}}}, ""definitions"": {""Product"": {""title"": ""Product"", ""type"": ""object"", ""properties"": {""brand"": {""title"": ""Brand"", ""description"": ""the brand of the specific product, e.g. nestle"", ""type"": ""string""}, ""long_title"": {""title"": ""Long Title"", ""description"": ""the long name of the specific product, e.g. nescafe classic instant coffee"", ""type"": ""string""}, ""short_title"": {""title"": ""Short Title"", ""description"": ""the short name of the specific product, e.g. nescafe classic"", ""type"": ""string""}, ""description"": {""title"": ""Description"", ""description"": ""one sentence that best describe the product"", ""type"": ""string""}, ""rank"": {""title"": ""Rank"", ""description"": ""the integer rank of this product out of all products"", ""type"": ""integer""}, ""urls"": {""title"": ""Urls"", ""description"": ""All the referenced URLs of a blog where this product is recommended as part of a top coffee list."", ""type"": ""array"", ""items"": {""type"": ""string""}}}, ""required"": [""brand"", ""long_title"", ""short_title"", ""description"", ""rank"", ""urls""]}}}
```",2025-04-15 15:22:15,10
